Sample,Method,Control,Analyte,Units,Result,Outlier
4786760,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3397,No
4786760,OES,SRM75F_CL,Calcium,PCT_M-M,0.532,No
4786760,OES,SRM75F_CL,Copper,MG_P_KG,4.2019,No
4786760,OES,SRM75F_CL,Zinc,MG_P_KG,41.0715,No
4786760,OES,SRM75F_CL,Iron,MG_P_KG,71.5047,No
4786760,OES,SRM75F_CL,Potassium,PCT_M-M,0.7437,No
4787377,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0527,No
4787377,OES,SRM75F_CL,Sodium,PCT_M-M,0.1855,No
4787377,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3403,No
4787377,OES,SRM75F_CL,Calcium,PCT_M-M,0.5306,No
4787377,OES,SRM75F_CL,Copper,MG_P_KG,4.0348,No
4787377,OES,SRM75F_CL,Zinc,MG_P_KG,40.1416,No
4787377,OES,SRM75F_CL,Iron,MG_P_KG,87.3808,No
4787377,OES,SRM75F_CL,Potassium,PCT_M-M,0.7309,No
4787481,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0521,No
4787481,OES,SRM75F_CL,Sodium,PCT_M-M,0.1864,No
4787481,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3474,No
4787481,OES,SRM75F_CL,Calcium,PCT_M-M,0.5205,No
4787481,OES,SRM75F_CL,Copper,MG_P_KG,3.7785,No
4787481,OES,SRM75F_CL,Zinc,MG_P_KG,40.1598,No
4787481,OES,SRM75F_CL,Iron,MG_P_KG,72.3806,No
4787481,OES,SRM75F_CL,Potassium,PCT_M-M,0.7194,No
4789371,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0526,No
4789371,OES,SRM75F_CL,Sodium,PCT_M-M,0.1866,No
4789371,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3349,No
4789371,OES,SRM75F_CL,Calcium,PCT_M-M,0.5341,No
4789371,OES,SRM75F_CL,Copper,MG_P_KG,3.852,No
4789371,OES,SRM75F_CL,Zinc,MG_P_KG,40.0838,No
4789371,OES,SRM75F_CL,Iron,MG_P_KG,85.5021,No
4789371,OES,SRM75F_CL,Potassium,PCT_M-M,0.7228,No
4791668,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0528,No
4791668,OES,SRM75F_CL,Sodium,PCT_M-M,0.1881,No
4791668,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3525,No
4791668,OES,SRM75F_CL,Calcium,PCT_M-M,0.538,No
4791668,OES,SRM75F_CL,Copper,MG_P_KG,3.8673,No
4791668,OES,SRM75F_CL,Zinc,MG_P_KG,40.408,No
4791668,OES,SRM75F_CL,Iron,MG_P_KG,74.0706,No
4791668,OES,SRM75F_CL,Potassium,PCT_M-M,0.7221,No
4794053,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0542,No
4794053,OES,SRM75F_CL,Sodium,PCT_M-M,0.1953,No
4794053,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3523,No
4794053,OES,SRM75F_CL,Calcium,PCT_M-M,0.5374,No
4794053,OES,SRM75F_CL,Copper,MG_P_KG,4.1613,No
4794053,OES,SRM75F_CL,Zinc,MG_P_KG,42.8795,No
4794053,OES,SRM75F_CL,Iron,MG_P_KG,90.5591,No
4794053,OES,SRM75F_CL,Potassium,PCT_M-M,0.7826,No
4794402,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0541,No
4794402,OES,SRM75F_CL,Sodium,PCT_M-M,0.1925,No
4794402,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3525,No
4794402,OES,SRM75F_CL,Calcium,PCT_M-M,0.5499,No
4794402,OES,SRM75F_CL,Copper,MG_P_KG,4.1181,No
4794402,OES,SRM75F_CL,Zinc,MG_P_KG,42.6663,No
4794402,OES,SRM75F_CL,Iron,MG_P_KG,90.7865,No
4794402,OES,SRM75F_CL,Potassium,PCT_M-M,0.7772,No
4795519,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0539,No
4795519,OES,SRM75F_CL,Sodium,PCT_M-M,0.1881,No
4795519,OES,SRM75F_CL,Phosphorus,PCT_M-M,0.3368,No
4795519,OES,SRM75F_CL,Calcium,PCT_M-M,0.5275,No
4795519,OES,SRM75F_CL,Copper,MG_P_KG,3.8522,No
4795519,OES,SRM75F_CL,Zinc,MG_P_KG,42.2624,No
4795519,OES,SRM75F_CL,Potassium,PCT_M-M,0.7223,No
4795519,OES,SRM75F_CL,Iron,MG_P_KG,88.8877,No
4796617,OES,SRM75F_CL,Magnesium,PCT_M-M,0.0527,No
4796617,OES,SRM75F_CL,Sodium,PCT_M-M,0.1711,No
