"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY","DATE_STARTED"
"7871067","12/10/2015 07:36:30 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.38363787","12/10/2015 08:39:04 AM"
"7889363","16/10/2015 08:29:09 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","57.085151526","16/10/2015 01:35:35 PM"
"7909190","22/10/2015 07:59:04 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","57.004594088","22/10/2015 09:18:17 AM"
"7930666","28/10/2015 06:31:53 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.496288051","28/10/2015 07:50:30 AM"
"7947320","01/11/2015 08:37:15 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.137426596","01/11/2015 09:23:03 AM"
"7956430","04/11/2015 10:22:58 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","54.939165747","04/11/2015 03:44:34 PM"
"7960466","05/11/2015 08:12:40 AM","LACT010493","MHO","SRM11E","Lactose Monohydrate","PCT_M-M","54.790505976","05/11/2015 09:14:14 AM"
"7964610","06/11/2015 06:21:59 AM","LACT010493","IBOTROUS","SRM11E","Lactose Monohydrate","PCT_M-M","55.011646955","06/11/2015 07:59:06 AM"
"7968690","07/11/2015 07:03:26 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.368055323","07/11/2015 08:24:43 AM"
"7973094","09/11/2015 10:33:28 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.289904032","09/11/2015 10:48:00 AM"
"7976629","10/11/2015 09:21:41 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","55.104456744","10/11/2015 10:05:57 AM"
"7980464","11/11/2015 06:37:58 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","55.082908229","11/11/2015 08:22:07 AM"
"7997049","15/11/2015 08:41:51 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.651091767","15/11/2015 09:54:36 AM"
"8018385","20/11/2015 06:29:55 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","54.972031697","20/11/2015 07:29:16 AM"
"8026519","23/11/2015 06:25:03 AM","LACT010493","MAGIB","SRM11E","Lactose Monohydrate","PCT_M-M","54.960086208","23/11/2015 07:17:40 AM"
"8052019","29/11/2015 08:47:08 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.244779668","29/11/2015 09:48:16 AM"
"8058584","01/12/2015 10:36:30 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","54.888078234","01/12/2015 11:34:57 AM"
"8071389","04/12/2015 06:25:28 AM","LACT010493","IBOTROUS","SRM11E","Lactose Monohydrate","PCT_M-M","55.127617394","04/12/2015 07:38:08 AM"
"8084547","08/12/2015 09:20:33 AM","LACT010493","ASHAIK","SRM11E","Lactose Monohydrate","PCT_M-M","56.886283443","08/12/2015 10:57:16 AM"
"8088483","09/12/2015 08:11:52 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","57.118749588","09/12/2015 02:50:02 PM"
"8093828","10/12/2015 07:25:14 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.755687211","10/12/2015 08:25:34 AM"
"8098380","11/12/2015 08:01:59 AM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","56.913614206","11/12/2015 12:01:32 PM"
"8111051","15/12/2015 07:33:03 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.554713764","15/12/2015 08:08:02 AM"
"8133931","21/12/2015 07:28:49 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","55.67873005","21/12/2015 08:36:59 AM"
"8148180","24/12/2015 07:02:15 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.091398083","24/12/2015 07:43:35 AM"
"8150257","24/12/2015 12:27:20 PM","LACT010493","GMESSAIKE","SRM11E","Lactose Monohydrate","PCT_M-M","57.133555002","26/12/2015 08:00:29 AM"
"8161153","30/12/2015 07:23:19 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.163704413","30/12/2015 07:51:39 AM"
"8170062","03/01/2016 08:42:16 AM","LACT010493","VKIN","SRM11E","Lactose Monohydrate","PCT_M-M","56.244438241","03/01/2016 09:21:13 AM"
"8187928","08/01/2016 06:27:33 AM","LACT010493","IBOTROUS","SRM11E","Lactose Monohydrate","PCT_M-M","54.764024724","08/01/2016 07:33:51 AM"
